,-,Estudiantes (EST),Estudiantes (EST),Nuevos Inscriptos (NI),Nuevos Inscriptos (NI),Reinscriptos (RI),Reinscriptos (RI),Egresados (EGRE),Egresados (EGRE)
1,Institución,Abs.,%,Abs.,%,Abs.,%,Abs.,%
2,Total de las instituciones,1437611,100,315593,100,1122018,100,80343,100
3,Total Universidades Nacionales,1388587,96.6,301841,95.6,1086746,96.9,76923,95.7
4,Arturo Jauretche,7824,0.5,3982,1.3,3842,0.3,0,
5,Avellaneda,4523,0.3,1957,0.6,2566,0.2,54,0.1
6,Buenos Aires,319866,22.2,51697,16.4,268169,23.9,17129,21.3
7,Catamarca,12015,0.8,2821,0.9,9194,0.8,390,0.5
8,Centro de la PBA,13554,0.9,2666,0.8,10888,1,655,0.8
9,Chaco Austral,3161,0.2,1098,0.3,2063,0.2,25,0
10,Chilecito,3308,0.2,595,0.2,2713,0.2,103,0.1
11,Comahue,30923,2.2,8911,2.8,22012,2,1059,1.3
12,Córdoba,108373,7.5,22318,7.1,86055,7.7,6910,8.6
13,Cuyo,31587,2.2,6816,2.2,24771,2.2,2361,2.9
14,Entre Ríos,14901,1,4351,1.4,10550,0.9,1237,1.5
15,Formosa,11418,0.8,3505,1.1,7913,0.7,286,0.4
16,Gral. Sarmiento,7125,0.5,1746,0.6,5379,0.5,210,0.3
17,José C. Paz (1),3090,0.2,3090,1,0,-,0,
18,Jujuy,14800,1,3837,1.2,10963,1,199,0.2
19,La Matanza,36338,2.5,6237,2,30101,2.7,1983,2.5
20,La Pampa,9100,0.6,2281,0.7,6819,0.6,469,0.6
21,La Plata,109803,7.6,21374,6.8,88429,7.9,6094,7.6
22,La Rioja,18589,1.3,4878,1.5,13711,1.2,633,0.8
23,Lanús,12825,0.9,3262,1,9563,0.9,491,0.6
24,Litoral,44268,3.1,9937,3.1,34331,3.1,2155,2.7
25,Lomas de Zamora,34434,2.4,7512,2.4,26922,2.4,2515,3.1
26,Luján,18339,1.3,5519,1.7,12820,1.1,888,1.1
27,Mar del Plata,23184,1.6,4932,1.6,18252,1.6,1158,1.4
28,Misiones,20955,1.5,5866,1.9,15089,1.3,820,1
29,Moreno,3668,0.3,1474,0.5,2194,0.2,5,0
30,Nordeste,50403,3.5,11540,3.7,38863,3.5,3087,3.8
31,Noroeste de la PBA,6225,0.4,1298,0.4,4927,0.4,179,0.2
32,Oeste,1657,0.1,738,0.2,919,0.1,21,0
33,Patagonia Austral,7289,0.5,3076,1,4213,0.4,161,0.2
34,Patagonia S. J. Bosco,13292,0.9,3331,1.1,9961,0.9,394,0.5
35,Quilmes,22451,1.6,5654,1.8,16797,1.5,839,1
36,Río Cuarto,15290,1.1,3101,1,12189,1.1,909,1.1
37,Río Negro,6988,0.5,3343,1.1,3645,0.3,132,0.2
38,Rosario,74234,5.2,15143,4.8,59091,5.3,10016,12.5
39,Salta,28015,1.9,5956,1.9,22059,2,509,0.6
40,San Juan,20533,1.4,3904,1.2,16629,1.5,777,1
41,San Luis,13554,0.9,3508,1.1,10046,0.9,583,0.7
42,San Martín,12971,0.9,3803,1.2,9168,0.8,1137,1.4
43,Santiago del Estero,16160,1.1,3776,1.2,12384,1.1,1310,1.6
44,Sur,18279,1.3,3513,1.1,14766,1.3,1101,1.4
45,Tecnológica Nacional,80052,5.6,16616,5.3,63436,5.7,4757,5.9
46,Tierra del Fuego,571,0,571,0.2,0,-,0,
47,Tres de Febrero,12451,0.9,5703,1.8,6748,0.6,490,0.6
48,Tucumán,63524,4.4,11399,3.6,52125,4.6,2452,3.1
49,Villa María,5798,0.4,2327,0.7,3471,0.31,240,0.3
50,Villa Mercedes,879,0.1,879,0.3,0,-,0,
51,Total Institutos Universitarios,28967,2,7955,2.5,21012,1.9,2619,3.3
52,Aeronáutico,5616,0.4,889,0.3,4727,0.4,977,1.2
53,Instituto Univ. del Ejército,1876,0.1,985,0.3,891,0.1,281,0.3
54,Gendarmería,1302,0.1,451,0.1,851,0.1,199,0.2
55,IUNA,14725,1,3865,1.2,10860,1,156,0.2
56,Naval,804,0.1,259,0.1,545,0,117,0.1
57,Policía Federal Argentina,3293,0.2,837,0.3,2456,0.2,364,0.5
58,Seguridad Marítima,1351,0.1,669,0.2,682,0.1,525,0.7
59,Total Universidad Provincial,20057,1.4,5797,1.8,14260,1.3,801,1
60,Autónoma de Entre Ríos,20057,1.4,5797,1.8,14260,1.3,801,1
