,EST,NI RE,EGRE,EST,NI RE,EGRE,EST,NI RE,EGRE
Total de las instituciones,37280,8.380 28.900,1159,71841,15.496 56.345,3345,52,16 36,0
Total Universidades Nacionales,36205,8.077 28.128,1143,66589,13.990 52.599,3207,52,16 36,0
Arturo Jauretche,-,- -,-,-,- -,-,-,- -,-
Avellaneda,-,- -,-,-,- -,-,-,- -,-
Buenos Aires,6568,953 5.615,290,25663,5.476 20.187,1673,-,- -,-
Catamarca,772,224 548,33,-,- -,-,-,- -,-
Centro de la PBA,-,- -,-,-,- -,-,-,- -,-
Chaco Austral,-,- -,-,-,- -,-,-,- -,-
Chilecito,-,- -,-,-,- -,-,-,- -,-
Comahue,1451,429 1.022,49,2243,495 1.748,51,-,- -,-
Córdoba,7746,1.790 5.956,215,12164,2.669 9.495,549,-,- -,-
Cuyo,1578,380 1.198,62,-,- -,-,-,- -,-
Entre Ríos,92,27 65,7,-,- -,-,-,- -,-
Formosa,449,103 346,0,-,- -,-,-,- -,-
Gral. Sarmiento,65,37 28,0,-,- -,-,-,- -,-
José C. Paz (1),-,- -,-,-,- -,-,-,- -,-
Jujuy,999,250 749,7,-,- -,-,-,- -,-
La Matanza,147,21 126,2,-,- -,-,-,- -,-
La Pampa,587,127 460,10,-,- -,-,-,- -,-
La Plata,2570,455 2.115,94,8650,1.566 7.084,293,-,- -,-
La Rioja,211,71 140,8,279,67 212,63,52,16 36,0
Lanús,349,89 260,6,-,- -,-,-,- -,-
Litoral,1046,267 779,18,-,- -,-,-,- -,-
Lomas de Zamora,526,95 431,18,-,- -,-,-,- -,-
Luján,-,- -,-,-,- -,-,-,- -,-
Mar del Plata,1116,330 786,28,3173,488 2.685,105,-,- -,-
Misiones,1170,309 861,44,-,- -,-,-,- -,-
Moreno,0,0 0 ,0,-,- -,-,-,- -,-
Nordeste,548,132 416,4,-,- -,-,-,- -,-
Noroeste de la PBA,-,- -,-,-,- -,-,-,- -,-
Oeste,-,- -,-,-,- -,-,-,- -,-
Patagonia Austral,105,29 76,4,182,50 132,12,-,- -,-
Patagonia S. J. Bosco,272,58 214,8,-,- -,-,-,- -,-
Quilmes,-,- -,-,-,- -,-,-,- -,-
Rosario,1128,319 809,44,6620,1.550 5.070,257,-,- -,-
Río Cuarto,626,116 510,31,-,- -,-,-,- -,-
Río Negro,380,164 216,13,-,- -,-,-,- -,-
Salta,690,129 561,8,-,- -,-,-,- -,-
San Juan,1095,197 898,25,-,- -,-,-,- -,-
San Luis,10,0 10,3,1942,412 1.530,105,-,- -,-
San Martín,269,101 168,22,-,- -,-,-,- -,-
Santiago del Estero,170,66 104,5,-,- -,-,-,- -,-
Sur,610,130 480,27,-,- -,-,-,- -,-
Tecnológica Nacional,282,0 282,31,-,- -,-,-,- -,-
Tierra del Fuego,-,- -,-,-,- -,-,-,- -,-
Tres de Febrero,-,- -,-,-,- -,-,-,- -,-
Tucumán,2370,612 1.758,21,5673,1.217 4.456,99,-,- -,-
Villa María,208,67 141,6,-,- -,-,-,- -,-
Villa Mercedes,-,- -,-,-,- -,-,-,- -,-
Total Institutos Universitarios,-,- -,-,-,- -,-,-,- -,-
Aeronáutico,-,- -,-,-,- -,-,-,- -,-
Instituto Univ. del Ejército,-,- -,-,-,- -,-,-,- -,-
Gendarmería,-,- -,-,-,- -,-,-,- -,-
IUNA,-,- -,-,-,- -,-,-,- -,-
Naval,-,- -,-,-,- -,-,-,- -,-
Policía Federal Argentina,-,- -,-,-,- -,-,-,- -,-
Seguridad Marítima,-,- -,-,-,- -,-,-,- -,-
Total Universidad Provincial,1075,303 772,16,5252,1.506 3.746,138,-,- -,-
Autónoma de Entre Ríos,1075,303 772,16,5252,1.506 3.746,138,-,- -,-
